Date,Projected GBMSM cases (post. mean; unmitigated),Projected GBMSM cases (post. 10%; unmitigated),Projected GBMSM cases (post. 90%; unmitigated),Projected GBMSM cum. cases (post. mean; unmitigated),Projected GBMSM cum. cases (post. 10%; unmitigated),Projected GBMSM cum. cases (post. 90%; unmitigated),Projected non-GBMSM cases (post. mean; unmitigated),Projected non-GBMSM cases (post. 10%; unmitigated),Projected non-GBMSM cases (post. 90%; unmitigated),Projected non-GBMSM cum. cases (post. mean; unmitigated),Projected non-GBMSM cum. cases (post. 10%; unmitigated),Projected non-GBMSM cum. cases (post. 90%; unmitigated)
2022-05-02,55.7245,12.0,112.0,55.7245,12.0,112.0,0.1575,0.0,1.0,0.1575,0.0,1.0
2022-05-09,91.5665,24.0,171.0999999999999,147.291,37.0,284.0,2.8905,0.0,7.0,3.048,0.0,7.0
2022-05-16,129.4105,45.0,226.0999999999999,276.7015,86.0,499.1999999999998,7.1515,1.0,16.0,10.1995,2.0,22.0
2022-05-23,143.136,57.900000000000006,251.0999999999999,419.8375,153.0,731.0999999999999,13.1705,3.0,26.0,23.37,5.0,48.0
2022-05-30,145.9385,57.0,261.0,565.776,231.89999999999998,948.0999999999999,19.2625,5.0,37.0,42.6325,10.0,83.09999999999991
2022-06-06,162.493,59.0,288.0999999999999,728.269,321.0,1218.0,23.5315,6.0,45.0,66.164,18.900000000000006,124.0
2022-06-13,209.9275,65.0,389.1999999999998,938.1965,401.0,1598.1,27.115,8.0,52.0,93.279,28.0,172.0999999999999
2022-06-20,295.0865,76.0,571.0,1233.283,506.79999999999995,2125.0,31.848,9.0,61.0,125.127,40.0,228.0
2022-06-27,408.763,101.90000000000003,787.0999999999999,1642.046,637.9,2895.2999999999997,39.898,10.900000000000006,79.0,165.025,53.900000000000006,303.0999999999999
2022-07-04,527.2275,131.0,994.6999999999994,2169.2735,787.7,3826.7999999999993,53.1585,13.0,104.0,218.1835,70.0,402.0999999999999
2022-07-11,632.973,171.8,1162.1999999999998,2802.2465,991.4000000000001,4923.2,70.979,16.0,149.0999999999999,289.1625,89.0,544.0999999999999
2022-07-18,717.359,223.0,1314.5999999999995,3519.6055,1237.9,6230.099999999997,92.998,19.0,191.0999999999999,382.1605,112.0,731.0999999999999
2022-07-25,773.489,278.0,1384.3999999999996,4293.0945,1519.6999999999998,7551.4,113.9985,24.0,233.19999999999982,496.159,137.0,956.0999999999999
