iteration,chain,metapop_size_dispersion,prob_detect,mean_inf_period,prob_transmission,R0_other,detect_dispersion,init_infs,chg_pnt,sex_trans_red,other_trans_red,sex_trans_red_post_WHO,other_trans_red_post_WHO
1,1,2.0872186156027652,0.47287320609284295,8.768380455944317,0.36165272553783695,0.1402694817006715,0.04698139611831771,5.75836964005479,162.91838618195723,0.4684298074608366,0.6940130731409585,0.8276225711997816,0.7574773814197513
2,1,2.5341275614005436,0.8359859683690501,15.737410430609987,0.20889277519462487,0.1404339711094578,0.010251739395281297,4.467975476803501,195.04003532039246,0.7480688525133853,0.277062226022321,0.42895855958012963,0.1729047634499075
3,1,0.771966224353563,0.5132693466676393,11.791151791717596,0.34822778994355885,0.2032584253356552,0.01490308105332351,1.7379050944524517,186.6846255346657,0.7164927016563338,0.9305773172762977,0.5029933668867684,0.03346804440977608
4,1,0.8389159299229358,0.7120597209622751,10.152048008355306,0.35608605102272334,0.1606566582806536,0.005849018426789858,5.692421617819065,162.94058944471732,0.6554375313206863,0.5906126494835539,0.5564740270471001,0.08965162674427729
5,1,0.15809464199925305,0.12039317084191137,15.038086854416251,0.22139744393466457,0.19795311903308488,0.014801064989644869,4.245737523394616,191.9209167543918,0.3817654592502491,0.47617148969597045,0.5943433338593445,0.9102511314518542
6,1,0.05271452716753694,0.7078717676213522,9.463211229684836,0.13964234201332265,0.07907236317251713,0.0348149740376106,2.1617414985889707,191.38931453555674,0.5450036132615813,0.3068632893762887,0.583481370307535,0.2954859160984828
7,1,2.3905604500540587,0.6045152125531136,14.122632606760314,0.3328711873663048,0.18989979047013608,0.03624994755122436,3.56813134383789,168.02571460397377,0.7131610816463947,0.6642593507817826,0.6048460005447447,0.5834260546306727
8,1,0.2891913500339866,0.22404948469983935,11.876625597103336,0.29175191561569547,0.11250970007103628,0.0026794660356629935,3.6913351542572075,174.7622676789959,0.5010261237374363,0.459257841378215,0.8647067645638999,0.49346733338197313
9,1,1.0408831190885672,0.32129355654861075,6.2280694520138065,0.5121002461920555,0.13976511592207136,0.024104349879138044,2.4812654145265283,174.26062286879474,0.5226509594979744,0.880223420405073,0.7946259791988977,0.41867825848596635
10,1,1.022332559564859,0.31240082386738655,10.597597929855079,0.36794006638755167,0.13482814794038986,0.005210481194731148,2.491555209196915,173.6609538682298,0.6131648576844742,0.41524653654108873,0.5635146797207673,0.6247133239756375
11,1,0.8212415942160586,0.7835784945022801,9.553083171017935,0.19736728787042085,0.1318788883338859,0.00826944835830646,2.4062678841271774,194.7179936825192,0.3922693837266933,0.39089738496371634,0.30566560943310306,0.05644773454976065
12,1,2.238675544432256,0.6171309677873232,12.651985562342306,0.34970348949467933,0.16149539577144556,0.011090430655633794,0.5101175766249675,188.07557404107652,0.7563340499754587,0.8024415059525973,0.08446208527171573,0.65852245557756
13,1,1.1950412502487189,0.7453237535172805,6.71590772984099,0.42465518239534816,0.053259611616221295,0.006858257513020648,0.60555882653147,179.98021200122295,0.6630650188988337,0.6942054574334666,0.7371612549656495,0.9901539376688975
14,1,0.6764889434561902,0.791955987536982,7.334285780311848,0.3111607912672556,0.16062600642301805,0.0031294114978183307,3.759252408103954,191.72435471023704,0.46662346067039917,0.9002450282149232,0.3216334600966411,0.7032102822271156
15,1,3.6082524927490036,0.7700680102261108,10.673500777131789,0.47499208629990247,0.30604342331625517,0.004595785860218642,2.746807779905354,158.28193682739817,0.7060416826382642,0.6322535087651656,0.6144638387801832,0.7711972741633224
16,1,0.28548371280665463,0.8163217717066049,11.728487912149307,0.20257391493837507,0.0983208761024742,0.004283165299774859,5.513078367645177,172.3104984509775,0.4521473363328143,0.5896521187225092,0.8788090836212328,0.6526214869975524
17,1,1.7892191555869545,0.09479163366373508,12.375704173654512,0.6463760886781598,0.1547117088932552,0.00707553425622751,2.4367655221707203,164.547175488354,0.5601908426575364,0.8710933543235816,0.4335035095188948,0.31177325211989687
18,1,0.3637469235711368,0.2770948606240848,13.795697844579589,0.3121512517940615,0.2057691485576598,0.0029549864039667417,1.6953250676250757,173.06027896777826,0.538041644544228,0.5201320662504328,0.9849191753097803,0.5032132610707666
19,1,1.538529953011082,0.7798506988722895,12.449782831322636,0.1790061565325596,0.19259691538559495,0.02054219897558817,5.059830684937842,190.1266251411228,0.32127684137268525,0.6687778544095895,0.42712165498412724,0.19308289571584744
20,1,3.2902404554495552,0.7094769459730583,8.646574348327055,0.3701061517151292,0.026198514807486806,0.004026109497385412,1.41722575943318,192.2420515872061,0.6328936922990211,0.5996364136629521,0.5315575479766581,0.10539730564022187
21,1,3.2498847322097726,0.7386395007170374,8.961218733247104,0.43434996312460633,0.16686014574824,0.0046623995193017225,1.830767553497799,171.3309447536556,0.6501539284345833,0.33434062268202197,0.3326723782032674,0.5529073088618858
22,1,2.304619937653568,0.39560841230924426,19.915435992626918,0.23966764849453615,0.2233814875944668,0.00885135642120121,1.3796808183032472,182.2124807371544,0.6579674678773992,0.5285914657572672,0.46797727134044514,0.4225818205295565
23,1,2.288086372198522,0.5434800475922529,12.205996096358456,0.26228671256662095,0.04533104515649056,0.005072127885778228,4.076313291956999,173.48502594876146,0.556041669843939,0.5681662114880924,0.35896036897739153,0.6770662029060948
24,1,2.5944556279880415,0.6319141544156118,10.463161729838985,0.28513561427926054,0.0937750133369191,0.007984574772405632,4.102627887702593,194.28245108197996,0.556781313076454,0.35092893438949735,0.49099867251926516,0.48512731399017833
25,1,6.6839837557898605,0.10241613671474747,13.582822610923026,0.4270364175227436,0.30039430786470755,0.004172362688670244,10.73780106421782,160.31437434129614,0.4336506578697984,0.6433040254460342,0.5173505870934479,0.8201720207609643
26,1,1.1085220463996137,0.6219764151488797,6.918620240547973,0.2880726243202566,0.1265860082286567,0.007073751816888215,2.4146856979639684,168.75438656291527,0.2535736075333043,0.5955113796069255,0.5805906584287059,0.6797707787348231
27,1,2.886785818338259,0.5304165687277631,11.363429515075778,0.33410869962327355,0.16246191378130792,0.006431579677042486,1.657291028631285,188.9185570877616,0.6700838032972987,0.8208515970316687,0.6340313963260382,0.41235550757142053
28,1,0.6826389102216746,0.3406849885609353,12.812452221491192,0.3773051114245043,0.1760771722749328,0.005598714633116321,0.6762039734863681,172.3635198010991,0.6331168504389182,0.39898883614566627,0.9564070451567058,0.4925098819246213
29,1,1.6258331954237657,0.8810613047058347,2.9871768754430965,0.5576694485790135,0.10076001831283775,0.005029381271801135,2.1280431456252407,185.8962492262904,0.42012610559877483,0.17431025661067753,0.6597000469476835,0.5814041246895514
30,1,3.154203199791972,0.601891742337651,7.293726291145861,0.38465095197173194,0.1784749901096776,0.024844372989427373,2.633827865711738,187.00721227809234,0.4669002108672793,0.5502548766253433,0.7063748414844757,0.3515712913844207
31,1,0.4163347221686915,0.5210142026988323,12.32142965002738,0.24346750079075674,0.18169832555217155,0.010979076550546535,0.9146218691500598,189.44045637965192,0.5970488723991649,0.42246391123576565,0.7545503067182701,0.35168231751915013
32,1,4.413990577247526,0.5142590071810266,10.802082609895468,0.39348975550526827,0.11044990168088187,0.004280027332394132,3.834503982693177,187.49902972115856,0.7843465383683668,0.644514366200462,0.7250267960840762,0.5947306930755645
33,1,2.0323160393355026,0.39114937256945237,9.03715596588436,0.5190118192532077,0.09410537396268212,0.0041872276319435695,1.1374312736309644,155.82353830847978,0.7014280125746372,0.43337700699654214,0.5512501188086875,0.8908721959261503
34,1,1.32764587161184,0.47362020230042173,6.193683521868294,0.3102433584140544,0.1104080422329428,0.020613844052425254,12.175048491559828,195.511337319477,0.3748466320157593,0.4991372201932319,0.7013844480166305,0.10461208803271373
35,1,1.1110230607663039,0.6468834020612844,18.522449112105335,0.34078303510075314,0.28620555189680397,0.006369381170470348,2.801753254342014,170.38615957680136,0.7052504073088939,0.6201698290709341,0.5601839402504749,0.666240600453328
36,1,1.6238887205475312,0.6459444493748697,11.508994551210108,0.291679915798685,0.16824419929037038,0.0055096378829547375,3.9905459119736255,194.7304426166858,0.7383000936747635,0.7651987020554807,0.18358691679676903,0.3552173635998627
37,1,2.4097273179625684,0.7235658306093818,11.832762115265343,0.3544525899560994,0.16730648439100132,0.00498117906418353,1.5956203320967555,171.15320118665602,0.6730072497922059,0.6542323831385409,0.7871733701153554,0.5544727874809942
38,1,2.191090703139381,0.9409319040511069,12.375951913322842,0.23884360207175775,0.17311750973361711,0.009327108873942126,0.9371075689087607,194.46700463500324,0.6188611657479952,0.865984815547711,0.6910113486031562,0.33477508443114945
39,1,0.039983385066666426,0.721304976138887,5.080967379649943,0.2144445342776835,0.13843909716018218,0.011259054530659422,4.686935944373403,152.3814319493874,0.2571231894115882,0.2497124046478585,0.5368436646694851,0.7272031706997177
40,1,0.619823417184995,0.4656996590407083,16.085628541797035,0.2026333224189189,0.1471788912762478,0.008723480345728785,2.0573867855506043,195.27210762771574,0.7679931236505413,0.31501567683977016,0.33174956474083916,0.5976719919483806
41,1,2.4186462690125703,0.4375072464190583,4.1997133455821025,0.49157018721514945,0.07310654441959345,0.004371790211285155,1.7533579529492567,168.7865218900133,0.3962491916829263,0.5419992477281296,0.9439006401164278,0.3951250315857181
42,1,0.6621692565372264,0.06657677718884042,21.944399552260165,0.4243969074688603,0.2180102022162908,0.004607930974553506,6.34363933152055,153.1854328669887,0.39513350681651194,0.839210219504672,0.3845660442383561,0.8996297351771838
43,1,2.9156139554268528,0.5667949615013663,12.343064709270747,0.3019527672712622,0.15874954851240322,0.004138121482094405,3.335654069866794,174.52750801172874,0.5594389580397086,0.49873381567304054,0.4472270975560445,0.6844307830415495
44,1,1.2601712002755745,0.6115179572660315,7.915930144958379,0.2564245688268167,0.09962863287570498,0.025672681168525183,9.634765485613558,187.61355047768419,0.5167184371136948,0.0677400786667891,0.691816696520285,0.8398444230578805
45,1,0.5689973208725925,0.21004122505265915,16.718840306878242,0.4155146260992525,0.32925260616897756,0.004085017517803073,6.120622794209865,148.01450969176565,0.6820801801239361,0.7468829192036254,0.801683098403664,0.41364212420498125
46,1,1.4020040458438887,0.5546170408734861,14.085036036356058,0.39994984825604374,0.15576608301235767,0.0032227058568372606,1.9894123256244032,169.91968018519913,0.7678022790226056,0.5853313321563244,0.4241711683346342,0.4437164028096294
47,1,2.9535589494607164,0.8140589398621222,8.294059327027746,0.355347467177588,0.14398646979926985,0.004617416727186528,5.635416223371969,161.39087729129386,0.46899889630091707,0.7400753300911558,0.7392715639554425,0.6418685144937865
48,1,0.05616169244715255,0.7412083520011,8.032583992284046,0.19536360091458696,0.20371891191678912,0.00636798080269489,4.914108961706161,135.47560689069564,0.40121207276136517,0.8144440088149009,0.7470622979190009,0.8215629557918296
49,1,2.6127300735995487,0.5115550403195717,13.818857003566466,0.21152734493515016,0.12286837199215213,0.01893254171104097,8.990874101546583,191.20603931935432,0.5673716306074453,0.7115683780758446,0.62897043616465,0.38631389292260715
