iteration,chain,metapop_size_dispersion,prob_detect,prob_transmission,R0_other,detect_dispersion,init_infs,chg_pnt,sex_trans_red,other_trans_red,sex_trans_red_post_WHO,other_trans_red_post_WHO
1,1,1.365731552302215,0.3649856393670672,0.5780175556504695,0.022947079217268927,0.0010999305511689588,6.133723896761319,145.21286423825424,0.5832496435880243,0.4207569676076865,0.13369444658947344,0.43940174210539507
2,1,1.0063858050323327,0.4709935210881338,0.4718169258604754,0.10044792101653757,0.0008903758979543912,7.5933033912601315,158.75809531191533,0.4789981093795185,0.494798050087872,0.4619571303458517,0.6378800444755264
3,1,3.508193267613268,0.22064032249933724,0.5097314883648748,0.026424971479245194,0.0005651924289278418,12.960380089146216,144.982524499942,0.3905582354759416,0.24326312523348964,0.32249841116073186,0.5025148639274117
4,1,0.2135364089247926,0.3418795604853896,0.3602574370348854,0.09181417468489994,0.0007293280543339317,12.548847113468067,152.74375750013508,0.3760132445878317,0.39524747469757193,0.29090199650658477,0.8707291490774329
5,1,3.2275020168686037,0.3628001735354708,0.3447260272013767,0.06268685797424672,0.00048708266187067644,10.736964264284508,157.03224643940504,0.06030222937631409,0.579363920413225,0.5224425596118618,0.8665631398567663
6,1,2.5849499950811916,0.6643278936174036,0.3361225745590436,0.15576134275367076,0.00040145059706328626,7.323168274744734,137.6438836283882,0.2430114117550838,0.7233271607390749,0.4843417235141628,0.6775677914993228
7,1,2.629074156214864,0.18596442113955075,0.3583762691263973,0.0266403161778268,0.0007795857012698096,13.731470918694878,160.26902864470264,0.12825106352998603,0.3406833793994958,0.2418635409174005,0.5324224064801208
8,1,2.342037848778618,0.2014673012220695,0.7750232034290094,0.039600963626115634,0.0005716368411757722,5.855878973680333,139.2135894430112,0.5660256609652423,0.24997765009139017,0.3407572464948569,0.5319005976337513
9,1,0.6109279295016283,0.2658011945937673,0.47291136331638906,0.05350720393743486,0.00030708467183624495,5.576533258946422,145.85931386092528,0.44244163262172786,0.2722389254475725,0.279374932847881,0.629230054236579
10,1,2.6355855244282593,0.2729537705822434,0.410825573279865,0.055871017007022294,0.0007400948832718846,2.0856814960497307,168.94074193240706,0.3463703826789607,0.4214319580239668,0.3310635469389066,0.6756654625340628
11,1,4.28695982399186,0.46025061639103326,0.6654133584223892,0.09216480524969514,0.0007768067166390233,1.808803121243117,154.79284387408876,0.6218150893538745,0.8530995713902565,0.4801230406630462,0.6536048916209479
12,1,2.3075434193716786,0.2676863034773259,0.4594746132599179,0.13463917881147314,0.0013592719537172952,7.235396895445138,154.84378217075644,0.36247105902594867,0.6865831473904731,0.4552730002320759,0.5180779831965714
13,1,2.1319902288102126,0.354841955877775,0.3183685452254319,0.04649676598349432,0.0006620289275293737,8.163536120432155,171.15690076238016,0.13587167503382003,0.12265038045657023,0.2325090673606233,0.5302526914299043
14,1,0.24813722201656102,0.4451902998417106,0.26531826048651225,0.04227410310511347,0.0018502702409628079,0.6924966146813845,152.70454673136726,0.25558250272139005,0.22877557698095463,0.20756553077285797,0.33996408250956145
15,1,3.913650926169096,0.16547950522005517,0.5407118058913853,0.0633923950939701,0.0010250408946348938,2.6254615408700945,169.47047837545796,0.4118672686006377,0.7941136841347107,0.23126148027419685,0.9119608954781243
16,1,5.471964696750641,0.2335153563620156,0.3876958110087235,0.06144267300666842,0.0015295129611024019,8.41301607215528,169.71151161155439,0.26693606270392195,0.9128780514013287,0.3738406036025923,0.7744889533519191
17,1,2.787085238980077,0.7487799967827828,0.546282611047536,0.033239044841244514,0.0007215858613144572,3.957435747045921,142.29766539033517,0.49146782834315716,0.3412492120371499,0.5594584169888284,0.5324833601300182
18,1,1.507556592169342,0.6648569175316931,0.3906514648217347,0.06118292889239729,0.0005074063201645639,3.608701181912011,165.3298496192221,0.5207048341266161,0.2699581276680886,0.3976999846596455,0.18479897877689894
19,1,1.770406556978828,0.34597256453482966,0.4087853144898356,0.024299391349778827,0.0007221181049509651,11.77226879867429,158.13229090110383,0.41273906155561396,0.34222005485800205,0.17052436003165444,0.8336202326353981
20,1,1.443942903037993,0.327024768418629,0.774310236613535,0.07143567303630427,0.0004909007826618335,0.6871325202945373,150.42360568596484,0.6766297350414016,0.6884662023607883,0.5107537364335384,0.20286221141300925
21,1,1.0182301297955398,0.24243818572445758,0.4701067668588096,0.05821785845958263,0.0006136517164629703,8.022841530909258,159.52392874470303,0.48106723675833607,0.42700178428253976,0.3112488566244189,0.5085346647129981
22,1,4.023498811656694,0.7172458307882795,0.4626244838488672,0.05451332520514598,0.0009067237987939746,8.309608547974292,160.03493979525996,0.4231114178256858,0.5805564103859022,0.7774046078258392,0.182722712594784
23,1,1.4892147114851308,0.3267989586747326,0.6495270839415027,0.10848478856784699,0.0007374968821254048,1.2732073848217165,159.04166397998586,0.6261105113487636,0.6892151169133865,0.0602135795402447,0.3391638655615812
24,1,3.2690933919527208,0.29038809083010075,0.5121768095466178,0.07220217079235286,0.0013305264116900866,5.183353515564947,154.71526630663686,0.4236213117591214,0.38702820324472026,0.2938620435302745,0.15075791949238251
25,1,1.6158376229068963,0.2776369849131579,0.37708637576121745,0.05250249278202846,0.0016527734264550815,13.286026171347988,159.98219384642962,0.27649186281297566,0.6605438383514086,0.5102414283547739,0.496533573370199
