Date,Inferred GBMSM cases,Projected GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected GBMSM cases (post. mean; 12 wk reversion),Projected GBMSM cases (post. 10%; 12 wk reversion),Projected GBMSM cases (post. 90%; 12 wk reversion),Projected GBMSM cases (post. mean; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. mean; 4 wk reversion),Projected GBMSM cases (post. 10%; 4 wk reversion),Projected GBMSM cases (post. 90%; 4 wk reversion),Projected GBMSM cases (post. mean; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 4 wk reversion + ceased vac rollout)
2022-05-02,NA,29.762,8.0,57.0,29.4525,9.0,56.0,29.607,9.0,57.0,29.6835,9.0,56.0,29.471,8.0,56.0
2022-05-09,NA,50.026,16.0,92.09999999999991,49.494,15.0,93.0,49.4925,15.0,91.0,49.4155,16.0,91.0,49.4375,15.0,92.09999999999991
2022-05-16,52.0,82.058,30.0,145.0999999999999,80.3815,28.0,144.0,82.3165,28.0,144.0999999999999,81.9325,29.0,144.0,81.055,28.0,146.0
2022-05-23,120.01926792500001,109.0885,43.0,189.0,105.4295,41.0,184.0999999999999,109.1775,40.0,192.0,109.5205,40.0,188.0,105.701,41.0,178.0999999999999
2022-05-30,114.092739776,127.814,47.0,226.0,123.714,45.0,221.0,127.0115,46.0,226.0999999999999,128.431,45.0,227.0999999999999,124.4195,43.0,219.0999999999999
2022-06-06,156.920915168,142.5915,44.0,263.0999999999999,137.8135,41.0,263.0,142.7925,46.0,264.0999999999999,142.912,43.0,265.0,138.961,43.900000000000006,254.0999999999999
2022-06-13,264.6376719,162.712,45.0,308.2999999999997,156.6745,42.0,318.0,162.6415,44.0,316.0999999999999,161.3675,43.0,310.0,158.4775,42.0,303.0
2022-06-20,285.797106352,184.328,45.900000000000006,360.0,177.7595,43.0,353.0999999999999,185.8955,48.0,355.0999999999999,184.8895,46.0,358.0999999999999,182.1375,44.0,350.0
2022-06-27,137.99415403400002,208.6075,50.900000000000006,406.0,201.2825,48.0,392.0999999999999,208.258,50.0,396.0999999999999,208.6735,49.0,395.0999999999999,206.342,46.900000000000006,399.0
2022-07-04,404.453030054,235.9745,55.0,445.0,228.706,51.0,444.0,237.9335,56.0,461.1999999999998,237.0715,55.0,456.0999999999999,233.5995,52.0,448.0999999999999
2022-07-11,227.72360795,239.045,58.0,434.39999999999964,233.8235,55.0,440.0,242.919,58.0,447.0,241.774,57.0,461.0999999999999,234.529,54.0,435.0
2022-07-18,346.808274138,243.1245,60.900000000000006,439.1999999999998,236.7285,57.900000000000006,421.0,247.539,64.0,444.0,246.572,60.0,463.0999999999999,238.0115,59.0,432.0999999999999
2022-07-25,289.07204944,225.3485,60.0,391.0999999999999,216.131,54.0,386.0,227.163,65.0,406.0999999999999,227.689,57.900000000000006,417.0999999999999,218.4585,56.900000000000006,392.0
2022-08-01,252.84605725,200.348,57.0,354.0,192.5765,52.0,350.0,200.669,58.900000000000006,359.0999999999999,201.937,55.0,356.0,196.6635,53.900000000000006,349.0
2022-08-08,170.15460095999998,178.11,50.0,314.0999999999999,172.6945,47.0,315.0999999999999,181.1515,58.0,315.0,180.1475,50.0,321.0999999999999,175.407,47.900000000000006,311.0999999999999
2022-08-15,147.54332603199998,124.836,39.0,220.0,122.8495,35.900000000000006,226.0,126.131,40.900000000000006,218.0,126.853,37.900000000000006,221.0,124.37,35.0,219.0999999999999
2022-08-22,88.556135021,93.4855,27.0,167.0999999999999,91.908,26.0,170.0999999999999,95.0935,28.900000000000006,167.0999999999999,94.9865,27.0,172.0,93.524,26.0,171.0
2022-08-29,59.278669776,74.2435,21.0,137.0999999999999,72.53,18.0,135.0999999999999,74.2755,21.0,135.0999999999999,73.875,20.0,136.0999999999999,72.8155,19.0,136.0
2022-09-05,81.084286562,56.562,14.0,107.0,55.5245,14.0,106.09999999999991,57.139,15.0,108.0,56.47,14.0,106.0,55.9555,13.0,107.09999999999991
2022-09-12,NA,42.25,10.0,83.0,41.3265,10.0,81.0,42.619,10.0,82.0,42.353,10.0,80.09999999999991,42.452,9.0,84.0
2022-09-19,NA,30.7725,6.0,63.0,32.08,7.0,65.0,33.1255,7.0,64.09999999999991,38.5325,7.0,75.0,38.257,7.0,74.0
2022-09-26,NA,21.6615,3.0,46.0,24.9945,4.0,53.0,26.4685,5.0,55.0,37.6355,6.0,76.0,37.9855,6.0,77.0
2022-10-03,NA,14.7975,2.0,32.0,19.467,3.0,42.0,21.939,3.0,47.0,38.9705,6.0,82.0,42.9225,6.0,90.0
2022-10-10,NA,9.792,1.0,22.0,14.973,2.0,33.0,18.8505,2.0,40.0,42.469,5.0,92.09999999999991,52.5855,5.0,114.0
2022-10-17,NA,6.6655,0.0,15.0,12.2,1.0,28.0,17.2,1.0,38.0,45.5575,4.0,107.09999999999991,62.931,5.0,140.0
2022-10-24,NA,4.756,0.0,12.0,10.2915,0.0,24.0,15.9005,1.0,37.0,46.2385,2.9000000000000057,110.0,72.326,4.0,169.0
