Date,Projected Cum. non-GBMSM cases (post. mean; no reversion),Projected non-GBMSM cases (post. 10%; no reversion),Projected non-GBMSM cases (post. 90%; no reversion),Projected Cum. non-GBMSM cases (post. mean; 12wk reversion),Projected non-GBMSM cases (post. 10%; 12wk reversion),Projected non-GBMSM cases (post. 90%; 12wk reversion),Projected Cum. non-GBMSM cases (post. mean; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected Cum. non-GBMSM cases (post. mean; 4wk reversion),Projected non-GBMSM cases (post. 10%; 4wk reversion),Projected non-GBMSM cases (post. 90%; 4wk reversion),Projected Cum. non-GBMSM cases (post. mean; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-10-24,430.5909634845706,428.7234634845706,433.7234634845706,432.4874634845706,428.7234634845706,436.7234634845706,437.6694634845706,429.7234634845706,447.7234634845706,441.9269634845706,430.7234634845706,457.7234634845706,466.10646348457055,434.7234634845706,508.7234634845706
2022-10-31,432.0044634845706,428.7234634845706,436.7234634845706,436.4874634845706,429.7234634845706,445.7234634845706,448.8744634845706,432.7234634845706,469.7234634845706,456.3669634845706,431.7234634845706,488.8234634845705,514.2214634845706,440.7234634845706,612.7234634845705
2022-11-07,433.06796348457056,428.7234634845706,438.7234634845706,440.7374634845706,429.7234634845706,454.7234634845706,463.58196348457057,434.7234634845706,499.7234634845706,472.3359634845706,433.7234634845706,523.8234634845705,572.3744634845706,446.7234634845706,747.8234634845705
2022-11-14,433.9199634845706,428.7234634845706,440.7234634845706,445.45296348457055,430.7234634845705,465.7234634845705,483.2179634845706,437.7234634845706,542.7234634845706,489.6239634845706,434.7234634845706,564.8234634845705,639.6704634845705,452.7234634845705,902.7234634845705
2022-11-21,434.5519634845706,428.7234634845706,442.7234634845706,450.86296348457057,430.7234634845706,477.7234634845706,509.2234634845706,440.7234634845706,603.7234634845706,508.2519634845706,435.7234634845706,607.8234634845705,714.1069634845705,456.7234634845705,1078.9234634845702
2022-11-28,435.06796348457056,428.7234634845706,443.7234634845706,457.04346348457057,431.7234634845706,493.7234634845706,542.3354634845706,442.72346348457063,673.7234634845706,527.5164634845705,436.7234634845705,655.7234634845705,793.6119634845707,460.72346348457063,1258.2234634845702
2022-12-05,435.4604634845706,428.7234634845706,444.7234634845706,464.01246348457056,431.7234634845706,511.7234634845706,582.7074634845706,445.62346348457055,773.8234634845704,547.3054634845705,437.7234634845705,703.7234634845705,877.0164634845705,464.7234634845705,1445.8234634845703
2022-12-12,435.77496348457055,428.7234634845706,445.7234634845706,471.8339634845706,431.7234634845706,530.7234634845706,630.2229634845705,447.7234634845705,893.7234634845705,567.3659634845706,438.7234634845705,747.9234634845703,963.2224634845707,466.72346348457063,1659.9234634845704
2022-12-19,436.0189634845706,428.7234634845706,445.7234634845706,480.61646348457055,432.7234634845705,553.8234634845704,683.4279634845706,449.7234634845706,1030.8234634845705,587.2864634845705,438.7234634845705,801.7234634845705,1051.1549634845705,469.6234634845705,1881.9234634845702
2022-12-26,436.2154634845706,428.7234634845706,446.7234634845706,489.9889634845706,432.72346348457063,578.8234634845705,741.5199634845706,451.7234634845706,1182.7234634845706,606.9519634845706,439.7234634845706,847.7234634845706,1139.4839634845705,471.7234634845705,2132.22346348457
2023-01-02,436.37596348457055,428.7234634845706,446.7234634845706,499.92446348457054,432.7234634845705,604.8234634845704,803.7859634845706,452.72346348457063,1334.9234634845704,626.0844634845705,439.7234634845705,896.0234634845702,1227.1444634845707,472.72346348457063,2359.6234634845696
2023-01-09,436.4844634845706,428.7234634845706,446.7234634845706,510.13996348457056,432.7234634845706,635.7234634845705,869.5074634845705,453.7234634845705,1495.12346348457,644.6544634845706,440.62346348457055,938.9234634845703,1313.2429634845705,474.7234634845705,2576.1234634845696
2023-01-16,436.57946348457057,428.7234634845706,447.7234634845706,520.7749634845705,432.7234634845705,665.7234634845705,938.0949634845706,454.7234634845706,1652.8234634845705,662.5514634845706,440.72346348457063,975.8234634845705,1396.4754634845706,474.72346348457063,2805.4234634845698
2023-01-23,436.6489634845706,428.7234634845706,447.7234634845706,531.3814634845705,432.7234634845705,696.7234634845705,1008.4649634845705,455.7234634845705,1862.22346348457,679.6339634845706,440.7234634845706,1017.9234634845704,1475.8159634845706,475.72346348457063,3016.9234634845707
2023-01-30,436.7059634845706,428.7234634845706,447.7234634845706,541.8599634845706,432.7234634845706,723.7234634845706,1079.7869634845706,456.6234634845706,2039.32346348457,696.1939634845705,440.7234634845705,1059.9234634845702,1550.0404634845706,476.72346348457063,3190.4234634845698
2023-02-06,436.7469634845706,428.7234634845706,447.7234634845706,552.1514634845705,432.7234634845705,748.7234634845705,1151.7319634845705,456.7234634845705,2236.723463484571,711.6814634845706,440.7234634845706,1100.8234634845705,1618.3289634845705,476.72346348457063,3383.4234634845698
2023-02-13,436.78446348457055,428.7234634845706,447.7234634845706,562.4214634845706,432.72346348457063,770.7234634845706,1222.5539634845707,457.72346348457063,2443.723463484571,726.4139634845706,440.7234634845706,1138.8234634845705,1681.2799634845705,477.72346348457063,3569.8234634845703
2023-02-20,436.8114634845706,428.7234634845706,447.7234634845706,572.4994634845706,432.7234634845706,797.7234634845706,1292.5344634845706,458.7234634845705,2634.12346348457,740.1849634845705,440.7234634845705,1173.8234634845703,1738.2514634845706,477.72346348457063,3737.8234634845703
