Date,"Risk trans. per sx cnt (post. mean, no reversion)","Risk trans. per sx cnt (post. 25%, no reversion)","Risk trans. per sx cnt (post. 75%, no reversion)","Risk trans. per sx cnt (post. mean, 4wk reversion)","Risk trans. per sx cnt (post. 25%, 4wk reversion)","Risk trans. per sx cnt (post. 75%, 4wk reversion)","Risk trans. per sx cnt (post. mean, 12wk reversion)","Risk trans. per sx cnt (post. 25%, 12wk reversion)","Risk trans. per sx cnt (post. 75%, 12wk reversion)"
2022-05-01,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.36602033790295957,0.28198840663469293,0.4500522691712262
2022-05-02,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.36602033829046504,0.2819884070206238,0.4500522695603063
2022-05-03,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203387228228,0.28198840745122483,0.4500522699944208
2022-05-04,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203392052247,0.28198840793166646,0.45005227047878293
2022-05-05,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.36602033974346293,0.28198840846771756,0.4500522710192083
2022-05-06,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203403440003,0.2819884090658148,0.45005227162218575
2022-05-07,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.36602034101404807,0.28198840973313977,0.45005227229495637
2022-05-08,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203417616514,0.2819884104777054,0.45005227304559736
2022-05-09,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203425957875,0.281988411308452,0.45005227388312297
2022-05-10,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.36602034352647184,0.2819884122353546,0.4500522748175891
2022-05-11,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203445648799,0.2819884132695431,0.45005227586021673
2022-05-12,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203457234802,0.2819884144234355,0.4500522770235249
2022-05-13,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203470161846,0.28198841571088695,0.4500522783214822
2022-05-14,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.366020348458515,0.2819884171473566,0.4500522797696734
2022-05-15,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203345550832,0.28198840330042046,0.45005226580974594,0.3660203500677904,0.28198841875009284,0.4500522813854879
2022-05-16,0.3651015476658075,0.2815379927727941,0.44866510255882086,0.3651015476658075,0.2815379927727941,0.44866510255882086,0.36510156497405827,0.2815380083512658,0.44866512159685074
2022-05-17,0.3638045550106441,0.28043414297234687,0.4471749670489414,0.3638045550106441,0.28043414297234687,0.4471749670489414,0.36380457432226654,0.28043415920438014,0.44717498944015294
2022-05-18,0.36288018483965434,0.2789721541361003,0.44678821554320836,0.36288018483965434,0.2789721541361003,0.44678821554320836,0.3628802063865319,0.2789721712372567,0.4467882415358071
2022-05-19,0.3617630811259158,0.2779320038975669,0.44559415835426475,0.3617630811259158,0.2779320038975669,0.44559415835426475,0.3617631051667718,0.27793202051949434,0.44559418981404925
2022-05-20,0.3606389395873728,0.27752265882534277,0.44375522034940285,0.3606389395873728,0.27752265882534277,0.44375522034940285,0.3606389664108766,0.2775226809862469,0.44375525183550635
2022-05-21,0.35937114447572077,0.2765251366310117,0.44221715232042985,0.35937114447572077,0.2765251366310117,0.44221715232042985,0.35937117440395444,0.2765251630543071,0.4422171857536018
2022-05-22,0.35838365164130526,0.2758836081351327,0.4408836951474778,0.35838365164130526,0.2758836081351327,0.4408836951474778,0.3583836850336308,0.2758836337102263,0.44088373635703537
2022-05-23,0.3575810485968993,0.2748566840615902,0.44030541313220845,0.3575810485968993,0.2748566840615902,0.44030541313220845,0.3575810858542736,0.2748567105555715,0.44030546115297575
2022-05-24,0.3564589630308086,0.27438293279504217,0.438534993266575,0.3564589630308086,0.27438293279504217,0.438534993266575,0.35645900460059776,0.27438297019819,0.4385350390030055
2022-05-25,0.35434190783218006,0.27386027931715584,0.4348235363472043,0.35434190783218006,0.27386027931715584,0.4348235363472043,0.3543419542135316,0.273860320496379,0.4348235879306842
2022-05-26,0.3523987691368492,0.2731477859094886,0.43164975236420977,0.3523987691368492,0.2731477859094886,0.43164975236420977,0.352398820886685,0.27314781972836766,0.43164982204500235
2022-05-27,0.3511563540801084,0.2722800830899048,0.43003262507031204,0.3511563540801085,0.27228008308990487,0.4300326250703121,0.3511564118198122,0.2722801332950539,0.43003269034457053
2022-05-28,0.3471280251912208,0.26779157754201,0.42646447284043165,0.3471280251912209,0.26779157754201,0.42646447284043176,0.3471280896140993,0.26779163664752353,0.42646454258067507
2022-05-29,0.3420848320969691,0.262859352584056,0.4213103116098822,0.3420848320969692,0.2628593525840561,0.4213103116098823,0.34208490397657665,0.2628594073947259,0.4213104005584274
