date,main_model_median_error,full_model_median_error,no_behaviour_change_median_error,one_metapopulation_median_error
23/05/2022,"1.311423651299668, [0.45878031317855966, 25.039006409028975]","0.9997901856908316, [0.3806285922530162, 14.328979586353888]","4.110194001741794, [0.49347869279608864, 47.12958856418616]","4.326089931319213, [0.7173150995178408, 73.5129343573763]"
20/06/2022,"0.8440970368496773, [0.3677666976278575, 3.3808371482279647]","0.821939749357925, [0.30642479821436036, 3.37628381269929]","2.3373060490146838, [0.47115346182521184, 7.647110411494908]","0.7055314687978067, [0.4354197794043399, 0.9011838699136138]"
18/07/2022,"0.5614320042363423, [0.20581960530416663, 1.3188640338578337]","0.5561461794037629, [0.24050061086780566, 1.1782512002887497]","1.3531561461700206, [0.25114667591422324, 4.782308970076619]","0.709442062767936, [0.3867866224985307, 0.9083554817279402]"
15/08/2022,"0.6580178647494643, [0.2975968100406981, 0.9719268396436127]","0.7141641854622388, [0.34085819204788376, 0.9846873670783343]","0.5402538148345437, [0.3050920949273314, 2.4563802636058365]","0.7371331348447375, [0.42361032532830656, 0.9617822203330094]"
