Date,Inferred non-GBMSM cases,Projected non-GBMSM cases (post. mean; no reversion),Projected non-GBMSM cases (post. 10%; no reversion),Projected non-GBMSM cases (post. 90%; no reversion),Projected non-GBMSM cases (post. mean; 12wk reversion),Projected non-GBMSM cases (post. 10%; 12wk reversion),Projected non-GBMSM cases (post. 90%; 12wk reversion),Projected non-GBMSM cases (post. mean; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. mean; 4wk reversion),Projected non-GBMSM cases (post. 10%; 4wk reversion),Projected non-GBMSM cases (post. 90%; 4wk reversion),Projected non-GBMSM cases (post. mean; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-05-02,NA,0.157,0.0,1.0,0.1735,0.0,1.0,0.166,0.0,1.0,0.152,0.0,1.0,0.151,0.0,1.0
2022-05-09,NA,2.825,0.0,7.0,2.7895,0.0,7.0,2.8215,0.0,7.0,2.7965,0.0,7.0,2.828,0.0,6.0
2022-05-16,0.06505439999999996,7.094,1.0,15.0,7.2225,1.0,16.0,7.1535,1.0,16.0,7.266,1.0,16.0,7.0545,1.0,15.0
2022-05-23,2.7564687999999986,12.853,2.0,26.0,13.234,3.0,27.0,12.8435,2.0,26.0,12.9955,3.0,27.0,12.912,2.0,27.0
2022-05-30,7.332831296000001,18.9675,5.0,37.0,19.1175,5.0,37.0,18.897,5.0,36.0,19.0575,5.0,38.0,18.9165,5.0,36.0
2022-06-06,14.515772114999999,22.9215,7.0,44.0,23.557,7.0,44.0,23.088,6.0,44.09999999999991,23.1085,7.0,43.0,23.0125,7.0,44.0
2022-06-13,18.62694359,25.696,7.0,48.0,26.0975,8.0,48.09999999999991,25.5555,7.0,47.0,25.779,7.0,49.0,25.3365,8.0,47.0
2022-06-20,16.93746627,27.3025,8.0,53.0,27.686,8.0,51.0,27.572,8.0,52.0,27.3645,8.0,52.0,27.361,8.900000000000006,51.0
2022-06-27,19.979379000000005,28.843,8.0,54.0,29.26,8.0,56.0,29.038,7.0,55.0,29.4965,8.0,57.0,29.2635,8.0,55.0
2022-07-04,25.687369120204636,31.7225,8.0,61.0,32.207,8.0,62.0,31.877,8.0,62.0,32.26,8.0,60.09999999999991,32.2865,9.0,63.0
2022-07-11,34.35865195000001,33.729,8.0,64.0,34.372,9.0,67.0,34.2615,9.0,66.0,34.165,8.0,67.0,34.473,8.0,67.0
2022-07-18,17.91479909999999,33.9675,8.0,66.0,34.7,8.0,67.09999999999991,34.188,8.0,67.0,34.4095,8.0,67.0,34.5425,8.0,68.0
2022-07-25,30.273588155999985,32.8465,8.0,64.0,33.485,7.0,65.0,33.411,8.0,67.0,33.362,7.0,64.0,33.251,7.0,65.0
2022-08-01,37.95613144199999,30.721,7.0,61.0,30.9475,6.0,61.0,30.886,6.0,63.0,31.1055,6.0,62.0,31.186,6.0,61.09999999999991
2022-08-08,29.357348585999997,25.286,5.0,51.0,25.6315,4.0,53.0,25.603,5.0,53.0,25.712,4.0,52.0,25.728,4.900000000000006,52.0
2022-08-15,48.740172144000006,21.731,3.0,45.0,21.849,3.0,46.0,21.789,4.0,46.0,21.7505,3.0,46.0,21.7595,4.0,46.0
2022-08-22,26.87570999869501,17.817,3.0,37.0,18.237,3.0,38.0,18.3,3.0,39.0,18.1135,3.0,39.0,18.045,3.0,38.0
2022-08-29,19.216460600360822,14.393,2.0,31.0,14.8625,2.0,31.0,15.178,2.0,32.0,14.854,2.0,32.0,14.991,2.0,32.0
2022-09-05,17.727342016494536,11.7615,2.0,25.0,11.8505,1.0,26.0,12.2815,2.0,27.0,11.7845,1.0,25.0,12.4935,2.0,26.0
2022-09-12,23.551345685369345,9.3055,1.0,20.0,9.551,1.0,20.0,10.4885,1.0,23.0,9.4175,1.0,20.0,10.5435,1.0,22.0
2022-09-19,14.091458652500002,7.2015,1.0,16.0,7.4665,1.0,16.0,9.051,1.0,20.0,8.058,1.0,18.0,9.673,2.0,20.0
2022-09-26,6.444453336972224,5.6125,0.0,13.0,5.8785,1.0,13.0,7.7515,1.0,16.0,8.583,2.0,17.0,12.008,3.0,23.0
