Date,Inferred non-GBMSM cases,Projected non-GBMSM cases (post. mean; no reversion),Projected non-GBMSM cases (post. 10%; no reversion),Projected non-GBMSM cases (post. 90%; no reversion),Projected non-GBMSM cases (post. mean; 12wk reversion),Projected non-GBMSM cases (post. 10%; 12wk reversion),Projected non-GBMSM cases (post. 90%; 12wk reversion),Projected non-GBMSM cases (post. mean; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected non-GBMSM cases (post. mean; 4wk reversion),Projected non-GBMSM cases (post. 10%; 4wk reversion),Projected non-GBMSM cases (post. 90%; 4wk reversion),Projected non-GBMSM cases (post. mean; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected non-GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-10-03,5.0374683340176505,4.3525,0.0,10.0,4.8635,0.0,11.0,7.258,1.0,16.0,10.123,2.0,20.0,15.971,4.0,31.0
2022-10-10,3.8494933325632004,3.235,0.0,8.0,4.0835,0.0,9.0,7.002,1.0,15.0,10.8885,2.0,22.0,21.0645,4.0,42.0
2022-10-17,4.094422225393061,2.47,0.0,6.0,3.794,0.0,8.0,7.571,1.0,16.0,11.951,2.0,25.0,28.2,5.0,58.0
2022-10-24,NA,1.8675,0.0,5.0,3.764,0.0,8.0,8.946,1.0,19.0,13.2035,2.0,29.0,37.383,6.0,80.0
2022-10-31,NA,1.4135,0.0,4.0,4.0,0.0,9.0,11.205,2.0,23.0,14.44,1.0,32.09999999999991,48.115,6.0,106.09999999999991
2022-11-07,NA,1.0635,0.0,3.0,4.25,0.0,10.0,14.7075,2.0,32.0,15.969,1.0,37.0,58.153,5.0,135.0999999999999
2022-11-14,NA,0.852,0.0,3.0,4.7155,0.0,11.0,19.636,2.0,45.0,17.288,1.0,41.0,67.296,5.0,156.0
2022-11-21,NA,0.632,0.0,2.0,5.41,0.0,13.0,26.0055,2.0,61.0,18.628,1.0,45.0,74.4365,4.0,176.0
2022-11-28,NA,0.516,0.0,2.0,6.1805,0.0,15.0,33.112,2.0,80.0,19.2645,0.0,47.0,79.505,4.0,192.0999999999999
2022-12-05,NA,0.3925,0.0,1.0,6.969,0.0,19.0,40.372,2.0,98.0,19.789,0.0,49.0,83.4045,3.0,203.0
2022-12-12,NA,0.3145,0.0,1.0,7.8215,0.0,21.0,47.5155,1.0,119.0,20.0605,0.0,49.0,86.206,2.0,217.0999999999999
2022-12-19,NA,0.244,0.0,1.0,8.7825,0.0,23.0,53.205,1.0,134.0,19.9205,0.0,50.0,87.9325,2.0,225.0999999999999
2022-12-26,NA,0.1965,0.0,1.0,9.3725,0.0,26.0,58.092,1.0,146.0999999999999,19.6655,0.0,49.09999999999991,88.329,1.0,233.0999999999999
2023-01-02,NA,0.1605,0.0,1.0,9.9355,0.0,27.0,62.266,1.0,157.0999999999999,19.1325,0.0,48.0,87.6605,1.0,236.0
2023-01-09,NA,0.1085,0.0,0.0,10.2155,0.0,27.0,65.7215,1.0,170.19999999999982,18.57,0.0,46.0,86.0985,1.0,238.0999999999999
2023-01-16,NA,0.095,0.0,0.0,10.635,0.0,29.09999999999991,68.5875,0.0,182.0,17.897,0.0,45.0,83.2325,0.0,231.0
2023-01-23,NA,0.0695,0.0,0.0,10.6065,0.0,29.0,70.37,0.0,189.0,17.0825,0.0,45.0,79.3405,0.0,220.19999999999982
2023-01-30,NA,0.057,0.0,0.0,10.4785,0.0,29.0,71.322,0.0,188.0,16.56,0.0,41.09999999999991,74.2245,0.0,208.0
2023-02-06,NA,0.041,0.0,0.0,10.2915,0.0,28.0,71.945,0.0,196.0,15.4875,0.0,40.09999999999991,68.2885,0.0,191.29999999999973
2023-02-13,NA,0.0375,0.0,0.0,10.27,0.0,28.0,70.822,0.0,195.0,14.7325,0.0,39.0,62.951,0.0,183.0
2023-02-20,NA,0.027,0.0,0.0,10.078,0.0,27.09999999999991,69.9805,0.0,197.0,13.771,0.0,37.0,56.9715,0.0,166.0
2023-02-27,NA,0.028,0.0,0.0,9.8755,0.0,27.0,66.247,0.0,187.0,13.4005,0.0,36.0,51.063,0.0,150.0999999999999
2023-03-06,NA,0.0175,0.0,0.0,9.4895,0.0,26.0,62.999,0.0,179.0999999999999,12.693,0.0,36.09999999999991,45.756,0.0,132.0
2023-03-13,NA,0.013,0.0,0.0,9.329,0.0,25.0,58.9895,0.0,166.0,11.7765,0.0,32.0,40.228,0.0,118.09999999999991
2023-03-20,NA,0.01,0.0,0.0,9.082,0.0,24.0,54.31,0.0,154.0999999999999,11.2295,0.0,31.0,35.5575,0.0,105.0
2023-03-27,NA,0.009,0.0,0.0,8.7595,0.0,24.0,49.499,0.0,143.0999999999999,10.722,0.0,30.0,31.0685,0.0,91.09999999999991
2023-04-03,NA,0.0045,0.0,0.0,8.466,0.0,23.0,44.861,0.0,129.0999999999999,10.008,0.0,28.09999999999991,27.093,0.0,78.09999999999991
2023-04-10,NA,0.0065,0.0,0.0,8.168,0.0,21.0,40.212,0.0,115.0,9.269,0.0,26.0,23.293,0.0,67.19999999999982
2023-04-17,NA,0.0065,0.0,0.0,7.9215,0.0,21.0,36.1625,0.0,103.09999999999991,8.894,0.0,24.09999999999991,20.227,0.0,58.0
