Date,Projected Cum. GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion),Projected GBMSM cases (post. 10%; 12wk reversion),Projected GBMSM cases (post. 90%; 12wk reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion + no vacs),Projected GBMSM cases (post. 10%; 12wk reversion + no vacs),Projected GBMSM cases (post. 90%; 12wk reversion + no vacs),Projected Cum. GBMSM cases (post. mean; 4wk reversion),Projected GBMSM cases (post. 10%; 4wk reversion),Projected GBMSM cases (post. 90%; 4wk reversion),Projected Cum. GBMSM cases (post. mean; 4wk reversion + no vacs),Projected GBMSM cases (post. 10%; 4wk reversion + no vacs),Projected GBMSM cases (post. 90%; 4wk reversion + no vacs)
2022-10-24,3879.8377031874293,3873.4432031874294,3888.4432031874294,3892.5837031874294,3874.4432031874294,3918.4432031874294,3961.0037031874294,3884.4432031874294,4062.4432031874294,3950.3022031874293,3877.4432031874294,4052.4432031874294,4198.094203187429,3896.4432031874294,4602.743203187429
2022-10-31,3885.4737031874292,3873.4432031874294,3901.4432031874294,3915.625203187429,3876.4432031874294,3970.5432031874293,4078.172203187429,3895.343203187429,4322.543203187429,4034.1897031874296,3881.4432031874294,4251.54320318743,4558.144203187429,3917.4432031874294,5445.743203187429
2022-11-07,3889.7867031874293,3874.4432031874294,3910.4432031874294,3942.446703187429,3877.4432031874294,4038.4432031874294,4231.272703187429,3906.4432031874294,4674.243203187429,4121.10520318743,3884.44320318743,4467.74320318743,4934.18670318743,3934.34320318743,6316.04320318743
2022-11-14,3893.1507031874294,3874.4432031874294,3917.5432031874293,3973.676703187429,3878.4432031874294,4117.643203187429,4423.25770318743,3915.44320318743,5118.64320318743,4209.27070318743,3887.34320318743,4681.943203187429,5318.81520318743,3947.4432031874294,7210.54320318743
2022-11-21,3895.7607031874295,3874.4432031874294,3924.4432031874294,4009.1222031874295,3879.4432031874294,4211.443203187429,4650.06520318743,3924.44320318743,5664.143203187429,4297.729203187429,3888.4432031874294,4928.843203187429,5707.920703187429,3956.4432031874294,8180.443203187429
2022-11-28,3897.8287031874293,3874.4432031874294,3929.4432031874294,4048.6257031874293,3879.4432031874294,4311.543203187429,4905.464703187429,3931.4432031874294,6302.9432031874285,4383.901703187429,3890.443203187429,5140.843203187429,6097.110203187429,3966.443203187429,9120.743203187429
2022-12-05,3899.3852031874294,3874.4432031874294,3933.4432031874294,4091.5077031874293,3880.4432031874294,4412.643203187429,5181.64070318743,3937.4432031874294,6993.143203187429,4466.813203187429,3891.4432031874294,5359.743203187428,6483.715203187429,3974.4432031874294,10092.543203187428
2022-12-12,3900.6822031874294,3874.4432031874294,3936.4432031874294,4136.246203187429,3880.4432031874294,4544.443203187429,5469.423703187429,3943.4432031874294,7715.543203187427,4546.128203187429,3892.443203187429,5577.543203187429,6865.3502031874295,3979.3432031874295,11131.343203187429
2022-12-19,3901.7657031874296,3874.4432031874294,3938.5432031874293,4182.17720318743,3880.44320318743,4651.043203187429,5768.55570318743,3948.4432031874294,8505.443203187428,4622.148703187429,3892.4432031874294,5777.443203187429,7235.871703187429,3982.3432031874295,12102.343203187429
2022-12-26,3902.5797031874295,3874.4432031874294,3941.4432031874294,4228.513203187429,3880.443203187429,4769.743203187429,6075.465203187429,3952.3432031874295,9230.743203187429,4694.04370318743,3893.34320318743,5948.443203187429,7589.193203187429,3984.3432031874295,13005.94320318743
2023-01-02,3903.2132031874294,3874.4432031874294,3943.4432031874294,4273.750703187429,3880.4432031874294,4881.743203187429,6388.27620318743,3953.44320318743,10020.843203187429,4761.933203187429,3893.4432031874294,6086.9432031874285,7920.841703187429,3986.443203187429,14045.44320318743
2023-01-09,3903.7107031874293,3874.4432031874294,3945.4432031874294,4318.0507031874295,3880.4432031874294,4995.54320318743,6702.9527031874295,3958.4432031874294,10838.343203187425,4826.459703187429,3893.4432031874294,6245.943203187427,8228.81870318743,3989.343203187429,14870.943203187426
