Date,Inferred GBMSM cases,Projected GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected GBMSM cases (post. mean; 12 wk reversion),Projected GBMSM cases (post. 10%; 12 wk reversion),Projected GBMSM cases (post. 90%; 12 wk reversion),Projected GBMSM cases (post. mean; 12 wk reversion + no vacs),Projected GBMSM cases (post. 10%; 12 wk reversion + no vacs),Projected GBMSM cases (post. 90%; 12 wk reversion + no vacs),Projected GBMSM cases (post. mean; 4 wk reversion),Projected GBMSM cases (post. 10%; 4 wk reversion),Projected GBMSM cases (post. 90%; 4 wk reversion),Projected GBMSM cases (post. mean; 4 wk reversion + no vacs),Projected GBMSM cases (post. 10%; 4 wk reversion + no vacs),Projected GBMSM cases (post. 90%; 4 wk reversion + no vacs)
2022-05-02,NA,55.6485,12.0,113.0,55.791,12.0,115.0,55.925,12.0,113.09999999999991,56.022,12.0,114.0,55.8485,13.0,111.09999999999991
2022-05-09,NA,90.748,24.0,174.0999999999999,91.26,24.0,174.0999999999999,90.4675,24.0,174.0,90.9105,24.0,172.0999999999999,90.4225,24.0,171.0
2022-05-16,64.9349456,128.41,44.0,227.0999999999999,130.089,44.0,229.0,127.8795,45.0,226.0,128.304,45.0,227.0,128.008,45.0,224.0
2022-05-23,131.2435312,141.919,54.900000000000006,245.0,144.9275,57.0,250.0,141.2795,54.900000000000006,237.0,141.015,56.0,239.0,142.146,57.0,247.0999999999999
2022-05-30,123.667168704,142.975,53.0,258.0,147.1565,55.0,266.0,143.547,54.0,248.0,143.875,55.0,253.0,145.0795,56.0,257.1999999999998
2022-06-06,181.484227885,155.428,55.900000000000006,285.0,160.6185,56.0,298.0999999999999,157.094,55.0,278.0,159.3025,58.0,290.0,160.0955,59.900000000000006,283.0
2022-06-13,308.37305641,191.563,61.900000000000006,349.0,197.869,62.0,358.0999999999999,195.0985,63.0,349.0,198.2745,63.0,368.0999999999999,197.4095,67.0,351.0999999999999
2022-06-20,337.56253373000004,243.8545,74.0,434.0999999999999,249.2705,73.0,449.0,244.926,77.9,436.0,250.1225,77.0,452.0,248.852,82.0,442.0999999999999
2022-06-27,245.020621,290.893,94.0,505.0,298.646,93.9,511.1999999999998,292.743,100.0,496.0999999999999,295.8925,95.0,503.0,296.624,101.0,507.0999999999999
2022-07-04,399.31263087979534,331.3045,116.9,549.1999999999998,339.7495,120.9,553.1999999999998,333.223,121.0,547.0,338.2185,114.9,547.2999999999997,336.127,125.9,556.0
2022-07-11,395.64134805,345.735,129.9,555.0,352.1735,134.0,563.0,347.442,134.0,554.0999999999999,351.0095,134.9,557.0999999999999,348.5595,138.8,569.0
2022-07-18,378.0852009,323.806,135.9,498.0,328.2245,135.0,508.0999999999999,326.869,136.9,503.0,327.2565,136.0,507.0,325.2705,139.0,508.0
2022-07-25,351.22641184400004,289.8465,129.0,443.0,289.984,129.9,437.0999999999999,289.1545,126.0,441.0,292.076,129.0,444.0,288.8285,132.0,444.0
2022-08-01,255.71053521800002,251.6085,115.9,378.0,253.3555,119.9,382.0,252.385,109.0,388.0,256.505,118.9,389.0999999999999,253.077,119.9,387.0
2022-08-08,179.97598474400002,178.5235,85.9,268.0,178.1555,85.0,266.0,179.043,83.0,270.0,180.013,84.0,272.0999999999999,179.835,85.0,273.0
2022-08-15,179.926494526,134.5685,64.9,204.0,134.746,66.9,206.0,139.3165,63.0,216.0,135.1615,63.0,209.0,140.2415,66.0,217.0999999999999
2022-08-22,79.79095666430499,104.227,46.0,161.0999999999999,103.7465,47.0,162.0,114.787,52.0,182.0,104.7065,46.0,166.0999999999999,115.787,53.0,184.0
2022-08-29,68.45020607263918,78.5135,35.0,126.0,78.307,35.0,124.0,96.059,41.0,156.0,78.4725,33.0,128.0999999999999,96.977,42.0,156.0
2022-09-05,62.27265799050546,57.6665,24.0,94.0,57.9125,23.0,93.09999999999991,82.33,34.0,136.0,57.538,23.0,97.0,82.2345,33.900000000000006,137.0
2022-09-12,37.61532098463065,41.3485,15.0,70.0,41.6955,16.0,72.0,71.0865,26.900000000000006,122.0,41.912,15.0,73.0,72.0145,27.0,124.09999999999991
2022-09-19,30.908541347499998,30.216,10.0,53.0,31.1495,10.0,55.0,62.618,22.0,110.09999999999991,35.82,12.0,65.0,73.316,24.0,129.0
2022-09-26,17.88888000002778,22.3885,6.0,41.0,24.4495,7.0,45.0,57.7215,18.0,106.0,43.945,11.0,84.0,106.176,27.900000000000006,201.0999999999999
2022-10-03,15.962531668982352,16.8275,4.0,32.0,20.05,4.0,39.0,56.2825,15.0,106.0,56.4665,11.0,115.0,161.0075,32.0,321.0999999999999
2022-10-10,12.4838399974368,12.567,2.0,25.0,18.02,3.0,36.0,59.615,13.0,115.0,64.026,9.0,139.0,218.481,31.0,454.0
2022-10-17,10.90557777060694,9.464,1.0,20.0,18.2895,2.0,40.0,69.6085,13.0,140.0999999999999,71.667,7.0,163.0999999999999,277.304,27.0,597.2999999999997
2022-10-24,NA,7.3945,1.0,16.0,20.1405,2.0,46.0,88.5605,12.0,190.0,77.859,5.0,180.0,325.651,24.0,730.2999999999997
2022-10-31,NA,5.636,0.0,14.0,23.0415,1.0,55.0,117.1685,11.0,256.0999999999999,83.8875,3.0,202.0,360.05,20.0,823.4999999999995
2022-11-07,NA,4.313,0.0,10.0,26.8215,1.0,67.0,153.1005,10.0,352.0,86.9155,3.0,214.0999999999999,376.0425,16.0,879.3999999999996
2022-11-14,NA,3.364,0.0,9.0,31.23,1.0,78.0,191.985,9.0,459.0,88.1655,2.0,220.0999999999999,384.6285,13.0,942.2999999999997
2022-11-21,NA,2.61,0.0,7.0,35.4455,0.0,94.0,226.8075,7.900000000000006,544.0999999999999,88.4585,1.0,232.0999999999999,389.1055,10.0,953.1999999999998
2022-11-28,NA,2.068,0.0,6.0,39.5035,0.0,102.09999999999991,255.3995,6.0,635.0999999999999,86.1725,1.0,223.0999999999999,389.1895,8.0,975.0
2022-12-05,NA,1.5565,0.0,5.0,42.882,0.0,114.0,276.176,5.0,688.0,82.9115,0.0,214.0,386.605,6.0,978.2999999999997
2022-12-12,NA,1.297,0.0,4.0,44.7385,0.0,115.0,287.783,4.0,745.1999999999998,79.315,0.0,207.0999999999999,381.635,4.0,1008.0999999999999
2022-12-19,NA,1.0835,0.0,3.0,45.931,0.0,121.0,299.132,3.0,787.0,76.0205,0.0,199.0,370.5215,3.0,1020.1999999999998
2022-12-26,NA,0.814,0.0,3.0,46.336,0.0,122.09999999999991,306.9095,3.0,822.3999999999996,71.895,0.0,188.0999999999999,353.3215,2.0,971.1999999999998
2023-01-02,NA,0.6335,0.0,2.0,45.2375,0.0,119.0,312.811,2.0,844.1999999999998,67.8895,0.0,180.0,331.6485,2.0,911.0999999999999
2023-01-09,NA,0.4975,0.0,2.0,44.3,0.0,115.0,314.6765,1.0,857.2999999999997,64.5265,0.0,177.0,307.977,1.0,870.0999999999999
2023-01-16,NA,0.3855,0.0,1.0,42.868,0.0,115.0,315.7685,1.0,872.2999999999997,60.7755,0.0,161.0,281.8535,1.0,792.0999999999999
2023-01-23,NA,0.3,0.0,1.0,41.6745,0.0,115.0,310.056,0.0,864.0999999999999,57.303,0.0,162.0999999999999,254.126,1.0,717.4999999999995
2023-01-30,NA,0.2505,0.0,1.0,40.442,0.0,112.09999999999991,299.143,1.0,850.0,54.2555,0.0,151.0,227.4545,0.0,658.0
2023-02-06,NA,0.162,0.0,1.0,38.9235,0.0,111.0,285.859,0.0,804.3999999999996,51.3715,0.0,144.0999999999999,201.711,0.0,581.1999999999998
2023-02-13,NA,0.1405,0.0,0.0,37.887,0.0,108.09999999999991,267.5295,0.0,744.0999999999999,48.5015,0.0,138.0,176.918,0.0,520.3999999999996
2023-02-20,NA,0.122,0.0,0.0,36.7135,0.0,106.0,246.086,0.0,698.1999999999998,45.9695,0.0,125.0,154.694,0.0,460.1999999999998
2023-02-27,NA,0.084,0.0,0.0,35.383,0.0,99.0,224.129,0.0,661.2999999999997,42.8445,0.0,123.09999999999991,134.0525,0.0,403.0999999999999
2023-03-06,NA,0.0835,0.0,0.0,34.17,0.0,95.19999999999982,202.269,0.0,599.1999999999998,40.3455,0.0,117.0,116.8385,0.0,348.1999999999998
2023-03-13,NA,0.067,0.0,0.0,33.0025,0.0,89.0,181.455,0.0,540.0,37.6455,0.0,112.0,100.123,0.0,299.1999999999998
2023-03-20,NA,0.0635,0.0,0.0,31.8465,0.0,90.0,161.3605,0.0,486.1999999999998,35.5985,0.0,107.09999999999991,86.0945,0.0,248.0999999999999
2023-03-27,NA,0.0395,0.0,0.0,30.533,0.0,86.09999999999991,142.584,0.0,428.0,33.2145,0.0,98.0,73.6275,0.0,212.0
2023-04-03,NA,0.0295,0.0,0.0,29.354,0.0,83.0,126.4255,0.0,374.0,31.124,0.0,96.0,62.756,0.0,175.0
2023-04-10,NA,0.026,0.0,0.0,28.5925,0.0,81.0,111.661,0.0,329.0,29.2655,0.0,87.09999999999991,53.8165,0.0,148.0999999999999
2023-04-17,NA,0.028,0.0,0.0,27.1775,0.0,79.09999999999991,98.1875,0.0,290.0999999999999,27.233,0.0,78.19999999999982,45.9355,0.0,130.0999999999999
