Date,"R0 GBMSM (post. mean, 4wk reversion)","R0 GBMSM (post. 10%, 4wk reversion)","R0 GBMSM (post. 90%, 4wk reversion)","R0 GBMSM (post. mean, 12wk reversion)","R0 GBMSM (post. 10%, 12wk reversion)","R0 GBMSM (post. 90%, 12wk reversion)"
2022-05-01,7.155427861785846,4.117613200282544,10.193242523289147,7.15542793122209,4.117613237146821,10.193242625297358
2022-05-02,7.155427861785846,4.117613200282544,10.193242523289147,7.155427939259104,4.117613241413737,10.19324263710447
2022-05-03,7.155427861785846,4.117613200282544,10.193242523289147,7.155427948226372,4.1176132461745345,10.193242650278208
2022-05-04,7.155427861785846,4.117613200282544,10.193242523289147,7.155427958231572,4.117613251486378,10.193242664976765
2022-05-05,7.155427861785846,4.117613200282544,10.193242523289147,7.15542796939484,4.117613257413049,10.193242681376631
2022-05-06,7.155427861785846,4.117613200282544,10.193242523289147,7.155427981850222,4.117613264025713,10.19324269967473
2022-05-07,7.155427861785846,4.117613200282544,10.193242523289147,7.155427995747266,4.117613271403769,10.193242720090764
2022-05-08,7.155427861785846,4.117613200282544,10.193242523289147,7.155428011252851,4.117613279635812,10.19324274286989
2022-05-09,7.155427861785846,4.117613200282544,10.193242523289147,7.155428028553153,4.117613288820686,10.193242768285621
2022-05-10,7.155427861785846,4.117613200282544,10.193242523289147,7.155428047855907,4.117613299068678,10.193242796643137
2022-05-11,7.155427861785846,4.117613200282544,10.193242523289147,7.1554280693928884,4.11761331050284,10.193242828282937
2022-05-12,7.155427861785846,4.117613200282544,10.193242523289147,7.155428093422707,4.117613323260468,10.193242863584945
2022-05-13,7.155427861785846,4.117613200282544,10.193242523289147,7.155428120233891,4.117613337494748,10.193242902973033
2022-05-14,7.155427861785846,4.117613200282544,10.193242523289147,7.155428150148384,4.117613353376598,10.19324294692017
2022-05-15,7.155427861785846,4.117613200282544,10.193242523289147,7.1554281835253715,4.117613371096718,10.193242995954025
2022-05-16,7.155128489422133,4.117613200282544,10.192643778561724,7.155128848401927,4.117613390867883,10.192644305935971
2022-05-17,7.138942507953072,4.107555486338189,10.170329529567955,7.138942908483567,4.107555684406816,10.170330132560316
2022-05-18,7.137613908398121,4.1031081359245265,10.172119680871717,7.137614355288668,4.103108342656687,10.172120367920648
2022-05-19,7.120445773202238,4.099734595857038,10.141156950547439,7.120446271818855,4.099734879324627,10.141157664313083
2022-05-20,7.107091701662554,4.099734595857038,10.11444880746807,7.107092257992364,4.099734912135044,10.114449603849685
2022-05-21,7.090236203112065,4.0936096900542385,10.086862716169891,7.090236823835172,4.093609988989997,10.086863658680347
2022-05-22,7.071140584197892,4.080816806385922,10.061464362009861,7.071141276767597,4.080818121835919,10.061464431699275
2022-05-23,7.056457003796282,4.0793079658241975,10.033606041768367,7.0564577765285925,4.079308357950728,10.033607195106457
2022-05-24,7.018137774272638,4.06169928387437,9.974576264670906,7.018138636446093,4.061699636880517,9.974577636011668
2022-05-25,7.004212764083555,4.052264038130398,9.956161490036713,7.004213726050668,4.0522645744332975,9.956162877668039
2022-05-26,6.975072995351916,4.021686256520584,9.92845973418325,6.975074068663464,4.021686768826426,9.9284613685005
2022-05-27,6.951672568167788,4.001011893885386,9.90233324245019,6.951673765711506,4.001012584394485,9.902334947028528
2022-05-28,6.909534350965574,3.9835252975198556,9.835543404411291,6.909535687120908,3.983526128845377,9.835545245396439
2022-05-29,6.893517018958869,3.983525297519856,9.803508740397882,6.893518509769641,3.98352622506848,9.803510794470801
2022-05-30,6.875095579125374,3.9628907755482694,9.78730038270248,6.875097242492418,3.9628917390652143,9.787302745919622
2022-05-31,6.836506596726709,3.936908665008181,9.736104528445237,6.83650845262282,3.9369098643858766,9.736107040859764
2022-06-01,6.769749116796685,3.8898801006870825,9.649618132906287,6.769751187506437,3.8898812363613944,9.64962113865148
2022-06-02,6.694884283430052,3.7992269072684186,9.590541659591686,6.694886593817377,3.799229339786018,9.590543847848735
2022-06-03,6.597120017507797,3.710536247482073,9.483703787533521,6.597122595314544,3.7105390737651947,9.483706116863893
2022-06-04,6.528878621078934,3.6005493350107027,9.457207907147165,6.528881497257963,3.6005503375719097,9.457212656944016
2022-06-05,6.440994695206993,3.498192741990648,9.383796648423338,6.440997904293846,3.4981983056123642,9.383797502975328
2022-06-06,6.377882694463009,3.427528483783482,9.328236905142537,6.377886274990597,3.427530133727654,9.32824241625354
2022-06-07,6.266021117118255,3.3347886077005064,9.197253626536003,6.2660251120795225,3.334790809015047,9.197259415143998
2022-06-08,6.169316195503006,3.2778019833284664,9.060830407677546,6.169320652867176,3.277804481085131,9.060836824649222
