Date,Projected Cum. GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion),Projected GBMSM cases (post. 10%; 12wk reversion),Projected GBMSM cases (post. 90%; 12wk reversion),Projected Cum. GBMSM cases (post. mean; 12wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 12wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 12wk reversion + ceased vac rollout),Projected Cum. GBMSM cases (post. mean; 4wk reversion),Projected GBMSM cases (post. 10%; 4wk reversion),Projected GBMSM cases (post. 90%; 4wk reversion),Projected Cum. GBMSM cases (post. mean; 4wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 4wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 4wk reversion + ceased vac rollout)
2022-09-12,3241.2318923380003,3208.9818923380003,3281.9818923380003,3240.3083923380004,3208.9818923380003,3279.9818923380003,3241.6008923380004,3208.9818923380003,3280.9818923380003,3241.3348923380004,3208.9818923380003,3279.081892338,3241.433892338,3207.981892338,3282.981892338
2022-09-19,3272.0043923380003,3214.9818923380003,3339.9818923380003,3272.3883923380004,3215.9818923380003,3344.081892338,3274.726392338,3216.9818923380003,3344.9818923380003,3279.867392338,3216.9818923380003,3352.9818923380003,3279.690892338,3214.9818923380003,3355.9818923380003
2022-09-26,3293.6658923380005,3219.9818923380003,3386.081892338,3297.382892338,3220.9818923380003,3392.081892338,3301.1948923380005,3222.9818923380003,3396.081892338,3317.5028923380005,3224.9818923380003,3427.9818923380003,3317.6763923380004,3221.9818923380003,3428.9818923380003
2022-10-03,3308.463392338,3221.9818923380003,3417.9818923380003,3316.8498923380002,3224.9818923380003,3435.081892338,3323.1338923380004,3226.9818923380003,3440.081892338,3356.4733923380004,3231.9818923380003,3511.081892338,3360.5988923380005,3229.8818923380004,3516.081892338
2022-10-10,3318.255392338,3222.9818923380003,3438.9818923380003,3331.822892338,3226.9818923380003,3465.9818923380003,3341.9843923380004,3230.9818923380003,3477.9818923380003,3398.9423923380004,3237.9818923380003,3602.081892338,3413.184392338,3238.9818923380003,3626.9818923380003
2022-10-17,3324.920892338,3223.9818923380003,3452.181892338,3344.0228923380005,3228.9818923380003,3492.181892338,3359.184392338,3233.8818923380004,3512.9818923380003,3444.4998923380003,3243.9818923380003,3689.081892338,3476.115392338,3245.9818923380003,3767.9818923380003
2022-10-24,3329.6768923380005,3223.9818923380003,3462.081892338,3354.3143923380003,3230.9818923380003,3515.9818923380003,3375.0848923380004,3235.9818923380003,3544.9818923380003,3490.7383923380003,3250.9818923380003,3793.281892338,3548.4413923380002,3251.9818923380003,3927.181892338
2022-10-31,3332.900892338,3224.8818923380004,3470.9818923380003,3363.0268923380004,3231.9818923380003,3535.081892338,3390.6008923380004,3237.9818923380003,3581.081892338,3537.284892338,3254.9818923380003,3905.081892338,3630.3163923380002,3257.9818923380003,4106.081892338
2022-11-07,3335.2518923380003,3224.9818923380003,3474.081892338,3370.9978923380004,3231.9818923380003,3548.9818923380003,3405.9933923380004,3238.9818923380003,3615.081892338,3584.4908923380003,3258.9818923380003,4029.181892338,3722.6503923380005,3263.8818923380004,4300.281892338
2022-11-14,3336.9493923380005,3224.9818923380003,3475.081892338,3378.4058923380003,3232.9818923380003,3570.081892338,3421.9593923380003,3241.8818923380004,3650.181892338,3632.1763923380004,3262.9818923380003,4149.181892338,3823.2608923380003,3266.9818923380003,4538.981892338001
