Date,"R0 GBMSM (post. mean, 4wk reversion)","R0 GBMSM (post. 25%, 4wk reversion)","R0 GBMSM (post. 75%, 4wk reversion)","R0 GBMSM (post. mean, 12wk reversion)","R0 GBMSM (post. 25%, 12wk reversion)","R0 GBMSM (post. 75%, 12wk reversion)"
2022-05-01,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139522436061,4.996963324598768,8.823315720273353
2022-05-02,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013953000941,4.9969633299487,8.823315730070119
2022-05-03,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139538459348,4.996963335917869,8.823315741000828
2022-05-04,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139547887338,4.996963342577949,8.823315753196727
2022-05-05,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101395584065886,4.996963350008911,8.823315766804267
2022-05-06,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139570143403,4.996963358299982,8.823315781986825
2022-05-07,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139583238717,4.996963367550715,8.823315798926718
2022-05-08,6.910139457005653,4.9969632783777085,8.823315635633598,6.9101395978497715,4.9969633778721905,8.823315817827353
2022-05-09,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139614152004,4.996963389388342,8.823315838915665
2022-05-10,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139632341164,4.996963402237449,8.823315862444879
2022-05-11,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139652635657,4.996963416573797,8.823315888697516
2022-05-12,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139675279171,4.996963432569528,8.823315917988815
2022-05-13,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139700543597,4.996963450416711,8.823315950670484
2022-05-14,6.910139457005653,4.9969632783777085,8.823315635633598,6.91013972873229,4.996963470329646,8.823315987134933
2022-05-15,6.910139457005653,4.9969632783777085,8.823315635633598,6.910139760183735,4.996963492547436,8.823316027820034
2022-05-16,6.89185276328603,4.989375132215015,8.794330394357045,6.89185310155595,4.989375429506507,8.794330773605392
2022-05-17,6.869438315984495,4.964527424445742,8.774349207523247,6.869438693408018,4.964527698878931,8.774349687937104
2022-05-18,6.854362389985743,4.9494169177963645,8.759307862175122,6.8543628110947665,4.949417174112125,8.759308448077409
2022-05-19,6.836477913229954,4.937986832263858,8.73496899419605,6.836478383080925,4.9379871461130636,8.734969620048787
