Date,Inferred GBMSM cases,Projected GBMSM cases (post. mean; no reversion),Projected GBMSM cases (post. 10%; no reversion),Projected GBMSM cases (post. 90%; no reversion),Projected GBMSM cases (post. mean; 12 wk reversion),Projected GBMSM cases (post. 10%; 12 wk reversion),Projected GBMSM cases (post. 90%; 12 wk reversion),Projected GBMSM cases (post. mean; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 12 wk reversion + ceased vac rollout),Projected GBMSM cases (post. mean; 4 wk reversion),Projected GBMSM cases (post. 10%; 4 wk reversion),Projected GBMSM cases (post. 90%; 4 wk reversion),Projected GBMSM cases (post. mean; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 10%; 4 wk reversion + ceased vac rollout),Projected GBMSM cases (post. 90%; 4 wk reversion + ceased vac rollout)
2022-05-02,NA,51.8705,13.0,106.0,51.5325,12.0,105.0,51.524,12.0,104.0,51.368,12.0,104.0,51.683,12.0,105.09999999999991
2022-05-09,NA,83.3625,24.0,162.0,82.9515,22.0,163.0,83.1945,23.0,161.0,83.1645,24.0,159.0,82.968,23.0,159.0
2022-05-16,64.872405816,119.2505,41.0,209.0,117.95,42.0,204.0,117.435,41.0,207.0999999999999,118.877,42.0,207.0,118.5795,42.0,209.0
2022-05-23,129.554957032,133.447,52.0,224.0,132.2135,54.0,222.0,130.3395,55.0,219.0,132.827,54.0,224.0,131.4895,51.0,222.0
2022-05-30,121.486518384,139.218,52.0,246.0,138.374,53.0,241.0,135.8935,52.0,237.0999999999999,138.2435,55.900000000000006,235.0999999999999,136.549,52.0,240.0
2022-06-06,182.139575903,155.809,53.0,280.0,154.6325,55.0,269.0,152.0075,51.0,275.0999999999999,154.1345,55.0,266.0,152.848,52.0,270.0999999999999
2022-06-13,308.571832108,190.824,61.0,348.0,191.6495,64.0,336.1999999999998,188.343,58.0,342.0999999999999,189.7035,61.0,334.0,189.23,59.0,345.0999999999999
2022-06-20,333.591590195,237.1535,70.0,431.0,237.9325,75.0,427.0999999999999,237.0315,68.9,426.1999999999998,236.4905,69.9,428.0999999999999,237.2855,69.0,433.0
2022-06-27,243.996351412,283.116,85.0,485.0,284.5965,88.0,497.0,283.169,88.0,488.0999999999999,280.7565,85.0,478.0,282.979,89.0,487.0
2022-07-04,397.23217097589577,324.2825,101.9,535.0,328.5,108.9,543.1999999999998,323.7045,104.9,519.0,323.2085,111.0,523.0,325.291,116.0,534.0999999999999
2022-07-11,392.292613934,342.929,113.9,543.0999999999999,345.26,122.9,566.1999999999998,341.1995,120.0,533.1999999999998,341.937,126.0,537.0999999999999,345.448,132.0,558.0999999999999
2022-07-18,371.552369755,314.7415,116.0,502.0,318.014,119.0,504.0,313.306,120.0,483.0999999999999,315.3715,122.9,482.0,318.007,126.0,498.0
2022-07-25,344.743882856,274.158,106.0,419.0,276.698,113.0,421.0999999999999,272.3175,111.9,413.2999999999997,272.771,112.9,412.0,277.8045,116.0,420.0
2022-08-01,255.030290562,239.544,99.0,367.0999999999999,240.151,103.0,360.0,237.5525,102.0,359.0,238.2975,104.9,366.0,241.68,104.9,362.0999999999999
2022-08-08,179.994528555,206.577,90.0,319.0999999999999,209.369,92.9,326.0,207.3165,92.9,316.0999999999999,207.054,91.0,322.0,209.66,94.0,320.0
2022-08-15,180.90441453900002,145.0735,64.0,226.0,147.1515,66.0,230.0,146.3675,63.0,227.0,145.3255,66.0,227.0,146.6115,66.0,224.0999999999999
2022-08-22,84.9272427120836,106.9615,43.0,173.0,108.6805,47.0,177.0999999999999,107.538,46.0,174.0,106.566,45.900000000000006,172.0,107.8985,46.0,174.0
2022-08-29,70.76841060608842,80.427,31.0,137.0,82.469,33.0,139.0,82.256,33.0,136.0999999999999,80.6555,32.0,135.0,82.086,32.0,136.0999999999999
2022-09-05,64.23192070327312,59.2245,20.0,103.0,61.0045,22.0,106.0,60.5805,22.0,104.0,59.644,21.0,104.0,60.7285,22.900000000000006,104.0
2022-09-12,39.552536159771726,42.958,13.0,78.09999999999991,44.583,15.0,81.0,44.154,14.0,78.0,43.445,13.0,79.0,44.805,14.0,81.0
