Date,"R other (post. mean, no reversion)","R other (post. 25%, no reversion)","R other (post. 75%, no reversion)","R other (post. mean, 4wk reversion)","R other (post. 25%, 4wk reversion)","R other (post. 75%, 4wk reversion)","R other (post. mean, 12wk reversion)","R other (post. 25%, 12wk reversion)","R other (post. 75%, 12wk reversion)"
2022-08-15,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04821560534252916,0.024330910536963804,0.07210030014809451,0.048378675743853676,0.024520966223576125,0.07223638526413123
2022-08-16,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04821717694799187,0.02433239280195054,0.0721019610940332,0.04839798462224837,0.024539037784399184,0.07225693146009755
2022-08-17,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04821935980391686,0.024334451569870016,0.0721042680379637,0.04841952021439253,0.024552816302803506,0.07228622412598155
2022-08-18,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.048222391604944306,0.02433731102322288,0.07210747218666573,0.04844353824714577,0.02456512223052163,0.07232195426376992
2022-08-19,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04822660243873744,0.024341282485300778,0.07211192239217411,0.04847032355761513,0.024578846006233418,0.07236180110899684
2022-08-20,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.048232450663922656,0.024346798258586294,0.07211810306925902,0.048500193343681476,0.024594517782534766,0.07240586890482818
2022-08-21,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.048240572686975285,0.024354458571990686,0.07212668680195988,0.04853350076200901,0.02461878923430911,0.07244821228970891
2022-08-22,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04825185199165676,0.02437125661183327,0.07213244737148025,0.04857063890685634,0.02464708302169226,0.07249419479202042
2022-08-23,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04826751480808622,0.02439277403368886,0.07214225558248358,0.04861204520522486,0.024682044661119236,0.07254204574933049
2022-08-24,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04828926258769203,0.02441542021960719,0.07216310495577688,0.04865820626597799,0.024745920227554723,0.07257049230440127
2022-08-25,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04831945522343437,0.024446860120819106,0.07219205032604964,0.04870966322243598,0.024835750818111985,0.07258357562675997
2022-08-26,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04836136402850334,0.02450666921200202,0.07221605884500466,0.048767017609471226,0.024940798380185522,0.07259323683875693
2022-08-27,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04841952021439253,0.024552816302803506,0.07228622412598155,0.04883093781713133,0.025034989032542983,0.07262688660171968
2022-08-28,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.048500193343681476,0.024594517782534766,0.07240586890482818,0.048902166163089546,0.025115427970295978,0.07268890435588311
2022-08-29,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04861204520522486,0.024682044661119236,0.07254204574933049,0.048981526625505006,0.025159366136625425,0.07280368711438459
2022-08-30,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.048767017609471226,0.024940798380185522,0.07259323683875693,0.04906993327583777,0.025250351684594795,0.07288951486708076
2022-08-31,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.048981526625505006,0.025159366136625425,0.07280368711438459,0.049168399447402325,0.025347368134339982,0.07298943076046467
2022-09-01,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.04927804766946566,0.025525391375537672,0.07303070396339365,0.04927804766946566,0.025525391375537672,0.07303070396339365
2022-09-02,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.0496871785630579,0.026038567939656605,0.0733357891864592,0.04940012038790252,0.025702925028694028,0.07309731574711101
2022-09-03,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.050250246974835974,0.026693347000664905,0.07380714694900704,0.04953599148109524,0.02585274256061889,0.0732192404015716
2022-09-04,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.0510224581467491,0.027370203549067922,0.07467471274443027,0.0496871785630579,0.026038567939656605,0.0733357891864592
2022-09-05,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.05207641377534479,0.028786619872451052,0.07536620767823853,0.049855356043677676,0.026246922169117063,0.07346378991823829
2022-09-06,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.05350550627427162,0.0304708620352626,0.07654015051328064,0.050042368887350884,0.026440320109615056,0.07364441766508671
2022-09-07,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.05542612354082589,0.03241607340610904,0.07843617367554274,0.050250246974835974,0.026693347000664905,0.07380714694900704
2022-09-08,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.05797673855019816,0.03525686846924132,0.08069660863115499,0.050481219927397986,0.02696415680037477,0.0739982830544212
2022-09-09,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.06131091039552996,0.038973063147658776,0.08364875764340114,0.05073773219569964,0.027129607940559526,0.07434585645083974
2022-09-10,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.06558047796570636,0.043492814218691986,0.08766814171272073,0.0510224581467491,0.027370203549067922,0.07467471274443027
2022-09-11,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.07090591549940156,0.04818751291691312,0.09362431808189,0.05133831679890411,0.027884774806900513,0.07479185879090772
2022-09-12,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.0773346078932646,0.05385989005203254,0.10080932573449666,0.05168848575594185,0.02835417198044347,0.07502279953144023
2022-09-13,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.08479566801266614,0.06046007156003716,0.10913126446529511,0.05207641377534479,0.028786619872451055,0.07536620767823853
2022-09-14,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.09306949089026066,0.06692714601608626,0.11921183576443506,0.0525058312725986,0.029319742097299508,0.07569192044789769
2022-09-15,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.10179396387622971,0.07285554559779493,0.13073238215466448,0.05298075791273979,0.029818031890865966,0.07614348393461362
2022-09-16,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.11051843686219877,0.07887575094528299,0.14216112277911455,0.05350550627427162,0.0304708620352626,0.07654015051328064
2022-09-17,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.11879225973979332,0.08429387404123032,0.15329064543835633,0.05408468039242383,0.031068371827370867,0.0771009889574768
2022-09-18,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.12625331985919486,0.08922883145776642,0.1632778082606233,0.054723167804671034,0.03172873907250403,0.07771759653683805
2022-09-19,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.13268201225305784,0.09356757521569131,0.17179644929042437,0.0554261235408259,0.03241607340610904,0.07843617367554276
2022-09-20,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.13800744978675306,0.09714489895978179,0.17887000061372432,0.05619894433636121,0.03333723261252128,0.07906065606020114
2022-09-21,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1422770173569295,0.09946267996556622,0.18509135474829275,0.057047231219151555,0.034376222522004646,0.07971823991629846
2022-09-22,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.14561118920226124,0.10126240708278796,0.18995997132173453,0.05797673855019816,0.03525686846924132,0.08069660863115499
2022-09-23,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.14816180421163352,0.10298329408802279,0.19334031433524426,0.058993307617292504,0.0365026853368608,0.08148392989772421
2022-09-24,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1500824214781878,0.1040769209698213,0.19608792198655428,0.06010278302127064,0.0377522474837988,0.08245331855874247
2022-09-25,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1515115139771146,0.10501858340800803,0.19800444454622118,0.06131091039552996,0.038973063147658776,0.08364875764340114
2022-09-26,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1525654696057104,0.10560687242672329,0.19952406678469753,0.0626232144998936,0.04062201645066345,0.08462441254912374
2022-09-27,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15333768077762347,0.10606709783418278,0.20060826372106416,0.064044857465593,0.04200149278464155,0.08608822214654446
2022-09-28,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1539007491894015,0.10647584878382922,0.2013256495949738,0.06558047796570636,0.043492814218691986,0.08766814171272073
2022-09-29,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1543098800829938,0.10677217352794258,0.201847586638045,0.06723401335438484,0.04490265844487343,0.08956536826389624
2022-09-30,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15460640112695445,0.10700673661111991,0.20220606564278898,0.06900850834197182,0.04645877795197566,0.09155823873196799
2022-10-01,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15482091014298824,0.10717972840165742,0.20246209188431907,0.07090591549940156,0.04818751291691312,0.09362431808189
2022-10-02,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1549758825472346,0.10730470661558136,0.20264705847888784,0.07292689471808085,0.0502892413037255,0.0955645481324362
2022-10-03,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.15508773440877793,0.1073949100679169,0.20278055874963896,0.07507062054666175,0.05201237427889316,0.09812886681443034
2022-10-04,0.04821156483177809,0.02432709971563684,0.07209602994791933,0.1551684075380669,0.10743552089460477,0.20290129418152902,0.0773346078932646,0.05385989005203254,0.10080932573449666
